		
"normalized area, average for each treatment"		
		
 GeoID 	  Average Bare  	 Average Bare 
comp109267_c0_seq1	 0.003742 	 0.003919 
comp109341_c1_seq1	 0.005372 	 0.003345 
comp109341_c2_seq1	 0.013856 	 0.016235 
comp109341_c2_seq2	 0.013856 	 0.016235 
comp109478_c0_seq1	 0.143806 	 0.181418 
comp109481_c1_seq1	 0.062771 	 0.051880 
comp109520_c0_seq1	 0.116431 	 0.130494 
comp109532_c0_seq1	 0.507835 	 0.516834 
comp109543_c0_seq1	 0.360636 	 0.323653 
comp109547_c0_seq1	 1.306285 	 1.380512 
comp109547_c0_seq2	 1.306285 	 1.380512 
comp109549_c0_seq1	 0.185807 	 0.177373 
comp109550_c0_seq1	 0.639802 	 0.618441 
comp109558_c0_seq1	 4.495682 	 5.217478 
comp109560_c0_seq1	 0.437535 	 0.469792 
comp109561_c0_seq1	 0.637818 	 0.620001 
comp109562_c0_seq1	 0.334215 	 0.290957 
comp109565_c0_seq1	 0.744661 	 0.696955 
comp109566_c0_seq1	 0.385282 	 0.358074 
comp109568_c0_seq1	 0.006212 	 0.004392 
comp109569_c0_seq1	 0.194574 	 0.207514 
comp109571_c0_seq1	 0.579761 	 0.577215 
comp109572_c0_seq1	 0.060904 	 0.060203 
comp109573_c0_seq1	 0.591687 	 0.584317 
comp109639_c0_seq1	 0.000770 	 0.001089 
comp109647_c0_seq1	 0.004705 	 0.004908 
comp109675_c0_seq1	 0.117048 	 0.118526 
comp109701_c0_seq1	 0.005717 	 0.005361 
comp109771_c0_seq1	 0.027719 	 0.045453 
comp109797_c0_seq1	 0.006572 	 0.008697 
comp109797_c0_seq2	 0.006572 	 0.008697 
comp109900_c0_seq1	 0.168401 	 0.168923 
comp109921_c0_seq1	 0.000687 	 0.000540 
comp109938_c0_seq1	 0.010258 	 0.018239 
comp109952_c0_seq1	 0.010044 	 0.011210 
comp109993_c0_seq1	 0.036720 	 0.038638 
comp110093_c0_seq1	 0.005187 	 0.006606 
comp110125_c0_seq1	 0.003939 	 0.005149 
comp110133_c0_seq1	 0.058489 	 0.052586 
comp110199_c0_seq1	 0.000426 	 0.000349 
comp110247_c0_seq1	 0.002196 	 0.004959 
comp110385_c0_seq1	 0.008955 	 0.009635 
comp110469_c0_seq1	 0.100563 	 0.117459 
comp110570_c0_seq1	 0.078749 	 0.078383 
