"","bareCaseInlet","bareFidalgoBay","barePortGamble","bareSkokomishRiver","bareWillapaBay","eelgrassCaseInlet","eelgrassFidalgoBay","eelgrassPortGamble","eelgrassSkokomishRiver"
"cds.comp140936_c0_seq2|m.36554",0.005335825,0.008039716,0.0107331,0.005428894,0.011561193,0.001853386,0.008957107,0.008729778,0.005908167
"cds.comp140936_c0_seq3|m.36555",0.005335825,0.008039716,0.0107331,0.005428894,0.011561193,0.001853386,0.008957107,0.008729778,0.005908167
"cds.comp140938_c0_seq1|m.36562",0.027582984,0.019758855,0.038088648,0.022808803,0.019404447,0.032213296,0.024179376,0.026757975,0.025868899
"cds.comp140938_c2_seq1|m.36563",0.079592106,0.086001496,0.115487702,0.081685118,0.06965362,0.070205466,0.09989858,0.11454611,0.083667464
"cds.comp140939_c0_seq1|m.36564",0.258359985,0.326930997,0.363184967,0.305893881,0.228182618,0.319610742,0.354653427,0.376411735,0.273056284
"cds.comp140939_c0_seq2|m.36567",0.258359985,0.326930997,0.363184967,0.305893881,0.228182618,0.319610742,0.354653427,0.376411735,0.273056284
"cds.comp140942_c0_seq1|m.36665",0.004263368,0.002854036,0.004532763,0.001650614,0.004536825,0.009840379,0.002066596,0.002355474,0.000811923
"cds.comp140948_c0_seq1|m.36675",0.137150451,0.218773208,0.214518505,0.166283208,0.120308745,0.148181665,0.159403135,0.182881254,0.161325624
"cds.comp140956_c1_seq1|m.36691",0.080169875,0.058718081,0.101735573,0.092590476,0.150576366,0.040814713,0.057561108,0.13558863,0.106738871
"cds.comp140956_c1_seq2|m.36692",0.080169875,0.058718081,0.101735573,0.092590476,0.150576366,0.040814713,0.057561108,0.13558863,0.106738871
"cds.comp140956_c1_seq6|m.36693",0.080169875,0.058718081,0.101735573,0.092590476,0.150576366,0.040814713,0.057561108,0.13558863,0.106738871
"cds.comp140961_c1_seq1|m.36698",0.032953816,0.031597001,0.049063724,0.04806161,0.036524126,0.050484636,0.057519127,0.045764608,0.052249832
"cds.comp140962_c1_seq1|m.36700",0.021009371,0.018546581,0.037989,0.026563538,0.015040009,0.026276949,0.028592906,0.022012636,0.017576488
"cds.comp140962_c1_seq3|m.36701",0.021009371,0.018546581,0.037989,0.026563538,0.015040009,0.026276949,0.028592906,0.022012636,0.017576488
"cds.comp140962_c1_seq4|m.36702",0.021009371,0.018546581,0.037989,0.026563538,0.015040009,0.026276949,0.028592906,0.022012636,0.017576488
"cds.comp140962_c1_seq5|m.36703",0.021009371,0.018546581,0.037989,0.026563538,0.015040009,0.026276949,0.028592906,0.022012636,0.017576488
"cds.comp140962_c1_seq7|m.36704",0.021009371,0.018546581,0.037989,0.026563538,0.015040009,0.026276949,0.028592906,0.022012636,0.017576488
"cds.comp140962_c1_seq8|m.36705",0.021009371,0.018546581,0.037989,0.026563538,0.015040009,0.026276949,0.028592906,0.022012636,0.017576488
"cds.comp140978_c0_seq1|m.36761",1.1397e-05,4.1712e-05,0.002439576,3.6936e-05,0.000565005,0.000538249826923077,2.849e-05,0.001532855,0.00048018
"cds.comp140978_c0_seq2|m.36763",1.1397e-05,4.1712e-05,0.002439576,3.6936e-05,0.000565005,0.000538249826923077,2.849e-05,0.001532855,0.00048018
"cds.comp140979_c0_seq1|m.36765",0.16030231,0.276040102,0.201766013,0.245774556,0.161034522,0.171569471,0.245150737,0.262070464,0.356133323
"cds.comp140989_c0_seq1|m.36770",0.098679745,0.088686913,0.122941468,0.12753652,0.139446846,0.066458708,0.106569388,0.064196969,0.190883157
"cds.comp140989_c0_seq2|m.36771",0.098679745,0.088686913,0.122941468,0.12753652,0.139446846,0.066458708,0.106569388,0.064196969,0.190883157
"cds.comp140989_c0_seq3|m.36772",0.098679745,0.088686913,0.122941468,0.12753652,0.139446846,0.066458708,0.106569388,0.064196969,0.190883157
"cds.comp140989_c0_seq4|m.36773",0.098679745,0.088686913,0.122941468,0.12753652,0.139446846,0.066458708,0.106569388,0.064196969,0.190883157
"cds.comp140994_c1_seq12|m.36774",0.01274619,0.008652954,0.027310828,0.00460256,0.046447449,0.000738749,0.009546796,0.020565763,0.01365291
"cds.comp140995_c0_seq1|m.36775",0.000208623,0.002067798,0.00255931,0.00149212,8.4888e-05,0.002346092,0.000363174,0.002142489,0.001230499
"cds.comp140995_c0_seq2|m.36777",0.000208623,0.002067798,0.00255931,0.00149212,8.4888e-05,0.002346092,0.000363174,0.002142489,0.001230499
"cds.comp141008_c0_seq1|m.36802",0.025170776,0.014995172,0.002250269,0.023767647,0.017751977,0.027344036,0.024627048,0.022464939,0.026988313
"cds.comp141008_c0_seq2|m.36803",0.025170776,0.014995172,0.002250269,0.023767647,0.017751977,0.027344036,0.024627048,0.022464939,0.026988313
"cds.comp141008_c0_seq4|m.36805",0.025170776,0.014995172,0.002250269,0.023767647,0.017751977,0.027344036,0.024627048,0.022464939,0.026988313
"cds.comp141010_c0_seq1|m.36810",0.00869709,0.002647551,0.005887678,0.006314176,0.008359259,0.003068082,0.002290777,0.003071146,0.008895095
"cds.comp141010_c0_seq2|m.36812",0.00869709,0.002647551,0.005887678,0.006314176,0.008359259,0.003068082,0.002290777,0.003071146,0.008895095
"cds.comp141015_c2_seq1|m.36817",0.010871811,0.031914455,0.054233057,0.026666824,0.018973929,0.022990326,0.021119263,0.046731527,0.018135313
"cds.comp141015_c2_seq2|m.36820",0.010871811,0.031914455,0.054233057,0.026666824,0.018973929,0.022990326,0.021119263,0.046731527,0.018135313
"cds.comp141015_c2_seq3|m.36823",0.010871811,0.031914455,0.054233057,0.026666824,0.018973929,0.022990326,0.021119263,0.046731527,0.018135313
"cds.comp141015_c2_seq6|m.36826",0.010871811,0.031914455,0.054233057,0.026666824,0.018973929,0.022990326,0.021119263,0.046731527,0.018135313
"cds.comp141017_c0_seq1|m.36835",0.036751622,0.003058725,0.061135374,0.040919327,0.035441117,0.021222121,0.049198342,0.065990598,0.027937517
"cds.comp141021_c1_seq1|m.36851",0.400944038,0.609532664,0.687996746,0.637836581,0.45855272,0.436772833,0.708429897,0.721083253,0.582567489
"cds.comp141021_c1_seq2|m.36853",0.400944038,0.609532664,0.687996746,0.637836581,0.45855272,0.436772833,0.708429897,0.721083253,0.582567489
"cds.comp141021_c1_seq3|m.36855",0.400944038,0.609532664,0.687996746,0.637836581,0.45855272,0.436772833,0.708429897,0.721083253,0.582567489
"cds.comp141023_c0_seq1|m.36864",0.00551507,0.007474996,0.009018413,0.005899938,0.007254299,0.00048806,0.009415949,0.006590405,0.007904695
"cds.comp141023_c0_seq2|m.36865",0.00551507,0.007474996,0.009018413,0.005899938,0.007254299,0.00048806,0.009415949,0.006590405,0.007904695
"cds.comp141025_c0_seq1|m.36866",0.433332957,0.73278509,0.593703203,0.587734256,0.574671777,0.457929035,0.624936174,0.573983356,0.747077267
"cds.comp141025_c0_seq2|m.36868",0.433332957,0.73278509,0.593703203,0.587734256,0.574671777,0.457929035,0.624936174,0.573983356,0.747077267
"cds.comp141025_c0_seq3|m.36870",0.433332957,0.73278509,0.593703203,0.587734256,0.574671777,0.457929035,0.624936174,0.573983356,0.747077267
"cds.comp141027_c0_seq1|m.36872",0.081998952,0.081625845,0.072539518,0.077446064,0.076738769,0.094872779,0.124571917,0.069666699,0.095873074
"cds.comp141034_c1_seq2|m.36915",0.013171473,0.001873899,0.002030517,0.006732483,0.005496423,0.005495746,0.001552866,0.003220068,0.004433802
"cds.comp141034_c1_seq4|m.36916",0.019098777,0.002848384,0.002085311,0.007831649,0.005615745,0.006654459,0.001653595,0.003336085,0.004638458
"cds.comp141041_c0_seq1|m.36924",0.432720067,0.746715349,0.573384368,0.456022604,0.415718124,0.482492065,0.578649339,0.488493634,0.529607719
"cds.comp141041_c0_seq2|m.36925",0.432720067,0.746715349,0.573384368,0.456022604,0.415718124,0.482492065,0.578649339,0.488493634,0.529607719
"cds.comp141041_c0_seq3|m.36926",0.432720067,0.746715349,0.573384368,0.456022604,0.415718124,0.482492065,0.578649339,0.488493634,0.529607719
"cds.comp141044_c0_seq1|m.36927",0.00941653,0.003459798,0.007114612,0.007813882,0.007136928,0.009463714,0.006293072,0.008523094,0.004134028
"cds.comp141049_c0_seq1|m.36929",0.090478409,0.080633203,0.103279368,0.082892902,0.04456698,0.07492944,0.067764858,0.121621304,0.110829789
"cds.comp141049_c0_seq2|m.36932",0.043715178,0.044543796,0.032160067,0.02535106,0.018037571,0.036535246,0.028068089,0.037195687,0.027066559
"cds.comp141057_c0_seq1|m.36952",0.313909136,0.260249519,0.395058248,0.316252932,0.277935403,0.268345082,0.353543013,0.370492927,0.300075387
"cds.comp141060_c0_seq1|m.36967",0.018790789,0.001822954,0.000363017,0.000268918,0.01642318,0.001449578,0.000662473,0.000202092,0.000421458
"cds.comp141060_c0_seq2|m.36972",0.018790789,0.001822954,0.000363017,0.000268918,0.01642318,0.001449578,0.000662473,0.000202092,0.000421458
"cds.comp141060_c0_seq3|m.36977",0.018790789,0.001822954,0.000363017,0.000268918,0.01642318,0.001449578,0.000662473,0.000202092,0.000421458
"cds.comp141060_c0_seq4|m.36981",0.018790789,0.001822954,0.000363017,0.000268918,0.01642318,0.001449578,0.000662473,0.000202092,0.000421458
"cds.comp141065_c1_seq1|m.37004",0.001399449,0.060365413,0.021021135,0.016059335,0.001487682,0.017441475,0.00973813,0.009197305,0.015577693
