Labels		 B/E Case Inlet 	 B/E Fidalgo Bay 	 B/E Port Gamble 	 B/E Skokomish 	 E/B Case Inlet 	 E/B Fidalgo Bay 	 E/B Port Gamble 	 E/B Skokomish 		 # Bare Sites 	 # Eelgrass Sites 
comp101435_c0_seq1	m.6198	 2.56 	 2.16 	 3.77 							3	0
comp105262_c0_seq1	m.6790	 3.20 		 3.92 	 3.88 		 3.82 				3	1
comp105966_c0_seq1	m.6904		 7.38 	 7.74 	 22.66 						3	0
comp110681_c0_seq1	m.8115	 4.73 		 3.20 	 9.53 		 15.28 				3	1
comp110988_c0_seq3	m.8189	 69.38 	 3.40 	 192.00 					 3.85 		3	1
comp112119_c0_seq1	m.8504	 5.36 	 17.71 	" 1,063.46 "					 553.71 		3	1
comp112972_c0_seq1	m.8727	 2.85 	 6.81 	 79.85 	 2.47 						4	0
comp112972_c0_seq2	m.8729	 2.85 	 6.81 	 79.85 	 2.47 						4	0
comp113126_c0_seq1	m.8792	 2.02 	 4.61 	 2.01 							3	0
comp113252_c1_seq1	m.8832	 2.73 	 2.99 		 36.44 						3	0
comp118965_c1_seq1	m.10880		 3.72 	 135.74 	 3.41 						3	0
comp119821_c0_seq1	m.11195	 5.12 	 13.86 	 2.27 							3	0
comp119821_c0_seq2	m.11197	 5.12 	 13.86 	 2.27 							3	0
comp122282_c0_seq1	m.12338	 2.59 		 3.47 	 2.19 						3	0
comp122304_c0_seq2	m.12348	 23.08 	 4.06 		 9.34 						3	0
comp122710_c0_seq1	m.12531	 8.74 	 3.99 		 3.47 						3	0
comp122710_c0_seq2	m.12532	 8.74 	 3.99 		 3.47 						3	0
comp123584_c0_seq1	m.13010	 8.12 	 370.69 	 20.07 							3	0
comp123584_c0_seq2	m.13011	 8.12 	 370.69 	 20.07 							3	0
comp123584_c0_seq3	m.13012	 8.12 	 370.69 	 20.07 							3	0
comp124057_c0_seq1	m.13292	 4.86 	 136.84 	 56.61 					 5.37 		3	1
comp124057_c0_seq2	m.13293	 4.86 	 136.84 	 56.61 					 5.37 		3	1
comp124217_c1_seq1	m.13366	 4.01 	 11.30 	 28.26 	 7.93 						4	0
comp124259_c0_seq1	m.13387	 11.25 	 4.49 		 9.11 						3	0
comp124483_c1_seq1	m.13533	 19.45 	 4.65 	 122.48 					 21.40 		3	1
comp125160_c0_seq1	m.13913	 2.84 		 2.56 	 3.42 		 6.64 				3	1
comp125209_c0_seq1	m.13948	 2.48 		 3.82 	 2.77 		 275.14 				3	1
comp125209_c0_seq4	m.13953	 2.48 		 3.82 	 2.77 		 275.14 				3	1
comp125873_c0_seq1	m.14385		 383.25 	 24.49 	 2.60 						3	0
comp125883_c0_seq1	m.14391		 2.33 	 3.27 	 3.17 						3	0
comp125883_c0_seq2	m.14393		 2.33 	 3.27 	 3.17 						3	0
comp125883_c0_seq3	m.14395		 2.33 	 3.27 	 3.17 						3	0
comp125883_c0_seq4	m.14397		 2.33 	 3.27 	 3.17 						3	0
comp125883_c0_seq5	m.14399		 2.33 	 3.27 	 3.17 						3	0
comp125883_c0_seq6	m.14401		 2.33 	 3.27 	 3.17 						3	0
comp127076_c0_seq1	m.15201		 26.53 	 4.67 	 4.97 						3	0
comp129170_c0_seq1	m.17040	 14.57 	 11.79 	 2.94 							3	0
comp129580_c0_seq1	m.17375	 11.94 	 7.50 	 4.33 							3	0
comp130175_c1_seq1	m.17902	 2.68 	 6.34 	 30.17 					 5.77 		3	1
comp130329_c1_seq1	m.18063		 2.22 	 420.18 	" 3,581.45 "						3	0
comp131275_c0_seq1	m.19058	 2.03 	 2.79 	 3.18 							3	0
comp131281_c0_seq1	m.19061		 6.63 	 2.46 	 2.44 	 2.20 					3	1
comp132672_c0_seq1	m.20551	 6.23 	 2.28 	 2.55 							3	0
comp133801_c1_seq1	m.21991	 4.11 	 2.40 	 5.88 					 5.19 		3	1
comp133801_c1_seq2	m.21992	 4.11 	 2.40 	 5.88 					 5.19 		3	1
comp133910_c0_seq5	m.22124	 3.41 	 108.46 	 12.37 					 6.67 		3	1
comp134221_c0_seq1	m.22556	 15.83 	 4.06 	 2.84 							3	0
comp134986_c1_seq6	m.23602	 3.55 		 2.24 	 6.06 		 925.95 				3	1
comp134986_c1_seq9	m.23605	 3.55 		 2.24 	 6.06 		 925.95 				3	1
comp136196_c0_seq1	m.25896	 2.25 		 4.08 	 9.09 		 43.88 				3	1
comp136550_c0_seq1	m.26522	 2.09 	 2.15 	 3.09 							3	0
comp136550_c0_seq2	m.26523	 2.03 	 2.03 	 2.93 							3	0
comp136888_c1_seq1	m.27058	 27.78 	 4.70 		 21.91 						3	0
comp136888_c1_seq2	m.27059	 27.78 	 4.70 		 21.91 						3	0
comp136892_c1_seq2	m.27064	 3.55 		 2.71 	 2.03 		 54.59 				3	1
comp136892_c1_seq3	m.27065	 3.55 		 2.71 	 2.03 		 54.59 				3	1
comp136913_c0_seq2	m.27113	 2.34 		 4.39 	 5.44 						3	0
comp136913_c0_seq3	m.27114	 2.34 		 4.39 	 5.44 						3	0
comp137258_c0_seq5	m.27767	 2.16 	 2.96 	 526.13 	 4.92 						4	0
comp137436_c4_seq1	m.28137	 4.42 	 3.32 	 3.13 					 3.76 		3	1
comp137436_c4_seq2	m.28138	 4.42 	 3.32 	 3.13 					 3.76 		3	1
comp137436_c4_seq8	m.28142	 4.42 	 3.32 	 3.13 					 3.76 		3	1
comp137436_c4_seq9	m.28143	 4.42 	 3.32 	 3.13 					 3.76 		3	1
comp137590_c0_seq4	m.28442	 6.07 	 3.99 		 21.30 			 3.21 			3	1
comp137590_c0_seq5	m.28444	 6.07 	 3.99 		 21.30 			 3.21 			3	1
comp138211_c0_seq4	m.29668	 6.05 	 3.08 	 3.37 					 48.36 		3	1
comp138211_c0_seq9	m.29675	 6.05 	 3.08 	 3.37 					 48.36 		3	1
comp138656_c0_seq1	m.30592		 3.10 	 2.30 	 2.49 						3	0
comp138933_c0_seq10	m.31277	 2.97 	 2.26 	 4.52 							3	0
comp138933_c0_seq11	m.31279	 2.97 	 2.26 	 4.52 							3	0
comp138933_c0_seq12	m.31280	 2.97 	 2.26 	 4.52 							3	0
comp138933_c0_seq2	m.31265	 2.97 	 2.26 	 4.52 							3	0
comp138933_c0_seq3	m.31267	 2.97 	 2.26 	 4.52 							3	0
comp138933_c0_seq4	m.31268	 2.97 	 2.26 	 4.52 							3	0
comp138933_c0_seq5	m.31269	 2.97 	 2.26 	 4.52 							3	0
comp138933_c0_seq7	m.31271	 2.97 	 2.26 	 4.52 							3	0
comp138933_c0_seq8	m.31272	 2.97 	 2.26 	 4.52 							3	0
comp138933_c0_seq9	m.31275	 2.97 	 2.26 	 4.52 							3	0
comp139100_c0_seq1	m.31636	 4.92 		 8.12 	 2.13 						3	0
comp139334_c1_seq1	m.32128	 68.22 		 2.21 	 7.64 		 4.28 				3	1
comp139373_c0_seq1	m.32200	 8.14 	 16.39 	 4.99 					 3.73 		3	1
comp139373_c1_seq1	m.32201	 2.26 	 45.85 	 2.17 							3	0
comp139509_c0_seq2	m.32494	 3.59 	 3.69 	 2.05 							3	0
comp139900_c1_seq1	m.33343	 4.73 	 11.07 	 8.27 	 115.64 						4	0
comp139963_c0_seq2	m.33572		 4.89 	 2.67 	 4.64 	 2.23 					3	1
comp140022_c0_seq6	m.33755	 3.82 		 2.25 	 10.36 		 6.76 				3	1
comp140338_c1_seq1	m.34672		 2.23 	 6.65 	 5.42 						3	0
comp140339_c0_seq1	m.34673	 7.69 	 7.51 	 4.89 							3	0
comp140469_c0_seq6	m.34917	 11.46 		 4.48 	 4.73 		 2.71 				3	1
comp140549_c0_seq1	m.35130	 2.32 	 3.48 	 2.60 							3	0
comp140568_c0_seq3	m.35296	 3.66 		 3.16 	 2.72 						3	0
comp140604_c0_seq1	m.35455	 11.01 	 2.44 	 2.21 					 2.10 		3	1
comp140604_c0_seq3	m.35456	 11.01 	 2.44 	 2.21 					 2.10 		3	1
comp140718_c0_seq1	m.35715	 9.88 	 3.64 	 26.47 					 3.21 		3	1
comp141128_c0_seq3	m.37212		 2.92 	 6.20 	 2.08 	 2.22 					3	1
comp141177_c0_seq5	m.37456	 2.49 	 5.87 	 6.54 	 2.09 						4	0
comp141177_c0_seq6	m.37457	 2.49 	 5.87 	 6.54 	 2.09 						4	0
comp141234_c1_seq1	m.37625	 2.22 	 4.10 		 2.11 						3	0
comp141234_c1_seq3	m.37627	 2.22 	 4.10 		 2.11 						3	0
comp141533_c1_seq2	m.38598		 2.03 	 3.27 	 2.15 						3	0
comp141533_c1_seq3	m.38600		 2.03 	 3.27 	 2.15 						3	0
comp141655_c1_seq3	m.39109	 4.73 		 3.20 	 9.53 		 15.28 				3	1
comp141791_c0_seq1	m.39742	 3.28 	 53.70 		 3.25 						3	0
comp141791_c0_seq2	m.39743	 3.28 	 53.70 		 3.25 						3	0
comp142656_c1_seq10	m.42803	 3.33 	 52.73 	 7.15 							3	0
comp142656_c1_seq3	m.42783	 3.33 	 52.73 	 7.15 							3	0
comp142656_c1_seq6	m.42789	 3.33 	 52.73 	 7.15 							3	0
comp142656_c1_seq8	m.42796	 3.33 	 52.73 	 7.15 							3	0
comp142656_c1_seq9	m.42801	 3.33 	 52.73 	 7.15 							3	0
comp142890_c0_seq1	m.43729	 2.24 	 2.20 		 4.57 						3	0
comp142890_c0_seq2	m.43730	 2.24 	 2.20 		 4.57 						3	0
comp142957_c0_seq1	m.44053	 2.59 	 2.37 	 2.62 							3	0
comp142957_c0_seq2	m.44054	 2.59 	 2.37 	 2.62 							3	0
comp142957_c0_seq3	m.44055	 2.59 	 2.37 	 2.62 							3	0
comp142957_c0_seq4	m.44056	 2.59 	 2.37 	 2.62 							3	0
comp143094_c1_seq3	m.44525	 4.70 	 59.01 	 7.33 					 4.30 		3	1
comp143413_c1_seq1	m.45843		 2.07 	 2.40 	 3.04 						3	0
comp143413_c1_seq5	m.45844		 2.07 	 2.40 	 3.04 						3	0
comp143593_c1_seq1	m.46723	 22.01 	 62.23 		 4.21 			 9.99 			3	1
comp143593_c1_seq2	m.46726	 22.01 	 62.23 		 4.21 			 9.99 			3	1
comp143599_c0_seq1	m.46728	 6.88 	 5.61 	 6.27 	 10.76 						4	0
comp143674_c0_seq3	m.46992		 4.20 	 6.14 	 2.74 	 12.22 					3	1
comp143959_c1_seq11	m.48816	 17.07 	 42.55 		 3.58 						3	0
comp143959_c1_seq15	m.48829	 17.07 	 42.55 		 3.58 						3	0
comp143959_c1_seq18	m.48837	 17.07 	 42.55 		 3.58 						3	0
comp143959_c1_seq19	m.48840	 17.07 	 42.55 		 3.58 						3	0
comp143959_c1_seq4	m.48795	 17.07 	 42.55 		 3.58 						3	0
comp144066_c0_seq1	m.49560	 2.12 	 3.32 	 5.35 	 2.73 						4	0
comp144109_c0_seq1	m.49792	 8.98 	 5.89 		 23.26 			 7.70 			3	1
comp144124_c0_seq10	m.49848		 5.96 	 2.13 	 2.45 						3	0
comp144124_c0_seq12	m.49851		 5.96 	 2.13 	 2.45 						3	0
comp144124_c0_seq5	m.49838		 5.96 	 2.13 	 2.45 						3	0
comp144124_c0_seq9	m.49845		 5.96 	 2.13 	 2.45 						3	0
comp144220_c0_seq2	m.50354	 4.73 		 3.20 	 9.53 		 15.28 				3	1
comp144506_c0_seq1	m.52256		 2.18 	 2.95 	 5.99 	 23.36 					3	1
comp144592_c0_seq2	m.53171		 2.69 	 132.58 	 2.91 	 3.03 					3	1
comp144592_c0_seq4	m.53182		 2.69 	 132.58 	 2.91 	 3.03 					3	1
comp147171_c0_seq1	m.53974	 2.89 		 10.95 	 14.49 						3	0
comp152124_c0_seq1	m.54473	 4.45 	 34.35 	 68.56 					 109.36 		3	1
comp153958_c0_seq1	m.54587	 41.82 	 2.09 	 18.31 					 25.39 		3	1
comp61748_c0_seq1	m.2460	 27.01 	 4.19 		 8.01 						3	0
comp62310_c0_seq1	m.2491	 24.81 	 8.28 		 2.55 			 5.89 			3	1
comp64631_c0_seq1	m.2637	 2.49 	 10.08 		 21.36 						3	0
comp68009_c0_seq1	m.2850	 3.01 	 3.21 	 3.84 					 9.33 		3	1
comp69728_c0_seq1	m.2979	 3.47 	 2.86 	 2.06 					 3.13 		3	1
comp69728_c0_seq2	m.2980	 3.47 	 2.86 	 2.06 					 3.13 		3	1
comp72674_c1_seq1	m.3175	 2.47 	 2.05 		 3.64 						3	0
comp72955_c0_seq1	m.3195	 3.82 		 2.25 	 10.36 		 6.76 				3	1
comp75783_c1_seq1	m.3394	 3.80 		 5.77 	 3.07 		 15.12 				3	1
comp78023_c0_seq1	m.3549	 2.86 	 2.87 		 10.49 						3	0
comp85244_c0_seq1	m.4075	 2.25 	 7.26 		 3.13 			 3.07 			3	1
comp94584_c0_seq1	m.5209	 4.30 	 218.41 		 112.25 			 767.12 			3	1
comp96183_c1_seq1	m.5425	 2.12 	 2.36 		 2.45 			 2.11 			3	1
comp96819_c0_seq1	m.5499	 31.71 	 23.96 		 2.65 						3	0
comp92163_c0_seq1	m.4857		 2.41 	 2.65 		 6.72 			 6.28 		3	2
comp92163_c0_seq2	m.4858		 2.41 	 2.65 		 6.72 			 6.28 		3	2
comp93919_c1_seq1	m.5113		 3.17 	 2.00 		 3.88 					3	1
comp95907_c0_seq1	m.5391			 3.86 	 4.09 	 6.55 	 3.20 				3	2
comp96496_c0_seq1	m.5470		 2.41 		 65.61 	 3.24 		 3.91 			3	2
comp116156_c0_seq1	m.9779					 3.86 	 2.23 	" 2,627.22 "			1	3
comp116890_c1_seq1	m.10045	 4.39 					 6.83 	 2.20 	 2.27 		0	3
comp120120_c0_seq1	m.11348						 6.21 	 2.24 	 17.57 		0	3
comp123102_c2_seq3	m.12740				 3.27 	 3.54 	 608.62 	 136.23 			2	3
comp123534_c0_seq2	m.12990					 2.83 	 3.72 	 4.20 			1	3
comp123981_c1_seq1	m.13226					 10.34 	 27.41 		 31.86 		1	3
comp124080_c0_seq2	m.13302						 6.21 	 2.24 	 17.57 		0	3
comp126124_c0_seq1	m.14581			 2.11 		 33.06 	" 1,823.17 "		 2.42 		2	3
comp127566_c0_seq1	m.15637					 2.04 	 5.05 	 47.93 	 77.63 		1	4
comp127899_c0_seq3	m.15893					 3.03 	 129.35 	 2.64 			1	3
comp128855_c0_seq2	m.16731					 3.71 	 16.45 	 4.94 	 3.21 		1	4
comp129748_c1_seq2	m.17519		 77.03 			 2.28 		 38.93 	 79.52 		2	3
comp130854_c0_seq1	m.18575				 3.27 	 3.54 	 608.62 	 136.23 			2	3
comp131458_c0_seq1	m.19217					 3.16 	" 2,425.00 "		 2.52 		1	3
comp131484_c0_seq1	m.19243						 2.90 	 61.17 	 38.17 		0	3
comp131848_c1_seq1	m.19655					 42.09 	 2.56 	 25.89 	 5.33 		1	4
comp132308_c0_seq4	m.20141			 2.14 		 2.16 	 5.86 		 2.56 		2	3
comp132587_c0_seq3	m.20467	 3.02 					 5.59 	 2.38 	 2.08 		0	3
comp133508_c0_seq1	m.21610					 9.15 		 7.45 	 5.82 		1	3
comp133724_c0_seq2	m.21852	 5.48 					 6.03 	 2.68 	 2.23 		0	3
comp133735_c0_seq1	m.21898					 6.07 	 15.15 		 2.92 		1	3
comp133965_c1_seq4	m.22202	 4.39 					 6.83 	 2.20 	 2.27 		0	3
comp134418_c0_seq1	m.22812		 5.25 			 15.56 		 2.02 	 6.08 		2	3
