Protein	Average %TIC Eelgrass	Average %TIC Bare	 Average Fold Change E/B 	Average Fold Change B/E	Protein - name edited for Galaxy
cds.comp51613_c0_seq1|m.2000	0.04389%	0.33180%	 0.1323 	 7.56 	comp51613_c0_seq1
cds.comp140469_c0_seq6|m.34917	0.03461%	0.26756%	 0.1293 	 7.73 	comp140469_c0_seq6
cds.comp50253_c0_seq1|m.1945	0.92237%	7.39868%	 0.1247 	 8.02 	comp50253_c0_seq1
cds.comp143045_c0_seq1|m.44355	0.00686%	0.05662%	 0.1212 	 8.25 	comp143045_c0_seq1
cds.comp143045_c0_seq2|m.44356	0.00686%	0.05662%	 0.1212 	 8.25 	comp143045_c0_seq2
cds.comp124217_c1_seq1|m.13366	0.01390%	0.11874%	 0.1171 	 8.54 	comp124217_c1_seq1
cds.comp144125_c0_seq5|m.49869	0.05239%	0.45700%	 0.1146 	 8.72 	comp144125_c0_seq5
cds.comp144125_c0_seq6|m.49871	0.05239%	0.45700%	 0.1146 	 8.72 	comp144125_c0_seq6
cds.comp137258_c0_seq5|m.27767	0.37439%	3.32999%	 0.1124 	 8.89 	comp137258_c0_seq5
cds.comp111242_c2_seq1|m.8270	0.07376%	0.65708%	 0.1123 	 8.91 	comp111242_c2_seq1
cds.comp143844_c2_seq2|m.47962	0.30942%	2.80010%	 0.1105 	 9.05 	comp143844_c2_seq2
cds.comp143844_c2_seq3|m.47963	0.30942%	2.80010%	 0.1105 	 9.05 	comp143844_c2_seq3
cds.comp143068_c0_seq1|m.44427	0.23812%	2.18133%	 0.1092 	 9.16 	comp143068_c0_seq1
cds.comp142656_c1_seq10|m.42803	0.01493%	0.14084%	 0.1060 	 9.43 	comp142656_c1_seq10
cds.comp142656_c1_seq3|m.42783	0.01493%	0.14084%	 0.1060 	 9.43 	comp142656_c1_seq3
cds.comp142656_c1_seq6|m.42789	0.01493%	0.14084%	 0.1060 	 9.43 	comp142656_c1_seq6
cds.comp142656_c1_seq8|m.42796	0.01493%	0.14084%	 0.1060 	 9.43 	comp142656_c1_seq8
cds.comp142656_c1_seq9|m.42801	0.01493%	0.14084%	 0.1060 	 9.43 	comp142656_c1_seq9
cds.comp136299_c0_seq1|m.26086	0.01953%	0.19051%	 0.1025 	 9.75 	comp136299_c0_seq1
cds.comp140402_c0_seq2|m.34788	0.05926%	0.57810%	 0.1025 	 9.75 	comp140402_c0_seq2
cds.comp140402_c0_seq3|m.34789	0.05926%	0.57810%	 0.1025 	 9.75 	comp140402_c0_seq3
cds.comp141695_c0_seq10|m.39270	2.46681%	25.56224%	 0.0965 	 10.36 	comp141695_c0_seq10
cds.comp121853_c0_seq2|m.12165	0.06304%	0.65488%	 0.0963 	 10.39 	comp121853_c0_seq2
cds.comp153958_c0_seq1|m.54587	0.02154%	0.22966%	 0.0938 	 10.66 	comp153958_c0_seq1
cds.comp131443_c0_seq1|m.19197	0.32759%	3.49840%	 0.0936 	 10.68 	comp131443_c0_seq1
cds.comp141695_c0_seq3|m.39262	2.08288%	24.97709%	 0.0834 	 11.99 	comp141695_c0_seq3
